['D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'C', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'B', 'D', 'D', 'D']
['E', 'C', 'B', 'B', 'D', 'B', 'B', 'A', 'B', 'D', 'B', 'E', 'B', 'B', 'C', 'C', 'B', 'B', 'B', 'B']
['B', 'A', 'C', 'C', 'C', 'B', None, 'C', 'B', 'A', 'C', 'C', 'B', 'A', 'A', 'D', 'B', 'A', 'D', 'C']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'C', 'C', 'C', 'C']
['A', 'E', 'D', None, 'C', 'B', 'E', 'B', 'A', 'C', None, 'A', 'B', 'D', 'C', 'A', 'E', 'B', 'D', 'C']
['D', 'B', 'C', 'B', 'E', 'C', 'B', 'C', 'D', 'D', 'B', 'A', 'D', 'C', 'D', 'A', 'B', 'A', 'D', 'D']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['C', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'A', 'C', 'B', 'A', 'B', 'A', 'B']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['D', None, None, None, None, None, None, 'B', 'B', 'C', 'B', None, None, 'D', None, 'B', None, None, None, None]
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['D', 'D', 'B', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['B', 'B', 'B', 'B', 'C', 'B', 'B', 'B', 'A', 'B', None, 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B']
['B', 'A', 'D', 'D', 'A', 'B', 'C', 'B', 'C', 'B', 'C', 'C', 'B', 'D', 'A', 'E', 'C', 'C', 'D', 'D']
['C', 'B', 'A', 'B', 'B', 'A', 'D', 'C', 'C', None, 'C', 'D', 'B', 'E', 'D', 'A', 'B', None, 'B', 'B']
['B', 'B', 'C', 'B', 'B', 'C', 'B', 'B', 'C', 'B', 'B', 'A', 'A', 'D', 'C', 'B', 'D', 'D', 'B', 'B']
['E', 'D', 'A', 'D', 'D', 'C', 'D', 'D', 'B', 'D', 'A', 'B', 'D', 'B', 'D', 'A', 'B', 'B', 'C', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
['C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'E', 'C']
['B', 'E', 'B', 'B', 'B', 'D', 'E', 'A', 'B', 'D', 'A', None, 'A', 'C', None, 'A', None, 'D', 'E', 'C']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', None, 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', None, 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['A', 'C', 'B', 'C', 'D', 'C', 'D', 'A', 'E', 'D', 'A', 'D', 'B', 'E', 'B', 'C', 'B', 'D', 'C', 'C']
['D', 'D', 'D', 'D', 'D', 'D', None, 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['C', 'B', 'C', 'C', None, 'C', 'D', 'E', 'C', 'C', 'C', 'C', 'D', None, 'C', 'C', 'A', 'C', 'C', 'C']
['D', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['A', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'C', 'B', 'B']
['C', 'A', 'A', 'A', 'E', 'A', 'E', 'C', 'B', 'B', 'B', 'B', 'A', 'A', 'E', 'A', 'C', 'A', 'B', None]
[None, 'C', 'B', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'B', 'B', 'C', 'B', 'C', 'C', 'B', None, 'B', 'B']
['B', 'A', 'E', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'B', 'C', 'A']
['A', 'B', 'A', 'B', 'C', 'A', 'D', 'A', 'B', 'B', None, 'E', 'C', 'B', 'E', 'B', 'B', 'B', 'E', None]
['D', 'D', 'B', 'B', 'B', 'B', 'D', 'D', 'B', 'D', 'B', 'B', 'B', 'B', 'D', 'D', 'D', 'B', 'B', 'D']
['C', 'B', 'C', 'D', None, 'C', 'C', 'C', 'A', 'B', 'B', 'D', 'C', 'A', 'B', 'D', 'C', 'D', 'B', 'C']
['B', 'D', 'B', 'A', 'E', 'A', 'B', 'C', 'B', 'D', 'A', 'C', 'A', 'D', 'B', 'B', 'C', 'C', 'C', None]
['A', 'B', 'E', 'B', 'B', 'C', 'B', None, 'B', 'A', 'B', 'D', 'A', 'B', 'A', 'C', 'A', 'B', 'B', 'C']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'B', 'D']
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['A', 'E', 'A', None, 'A', 'A', 'A', 'B', 'A', 'A', 'A', None, 'A', 'A', 'D', None, 'E', 'A', 'A', 'C']
['D', None, 'D', 'D', 'D', None, 'C', 'C', None, 'D', 'D', 'B', 'C', None, None, None, None, 'B', 'D', 'D']
['B', 'B', 'B', 'D', 'B', None, 'C', 'A', 'D', 'C', 'A', 'A', None, 'B', 'C', 'A', 'D', 'B', 'C', 'B']
['C', None, 'C', 'B', 'B', 'B', 'E', 'D', 'E', None, None, 'A', 'A', 'C', 'B', 'B', 'D', 'B', 'D', 'C']
['E', 'E', 'E', 'E', 'E', 'E', 'E', None, 'E', None, 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'A', 'D', 'D']
['B', 'C', 'B', 'D', 'A', 'C', 'B', 'D', 'D', 'C', 'B', 'C', 'D', 'B', 'C', 'C', 'A', 'A', 'B', 'C']
['B', 'E', 'B', 'B', 'B', 'B', 'B', 'A', 'A', 'C', 'B', 'B', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B']
['B', 'B', 'B', 'C', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'C', 'B']
['B', 'B', 'C', 'A', 'A', 'C', None, 'D', 'C', 'A', 'B', 'B', 'C', 'A', None, 'C', 'A', 'C', None, 'B']
['E', 'D', 'E', 'E', 'E', 'C', 'D', 'E', 'C', 'D', 'B', None, 'E', 'A', 'B', 'C', 'D', 'B', 'C', 'D']
[None, 'B', 'B', 'B', 'B', 'B', 'B', 'B', None, 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['B', 'C', 'A', 'B', 'C', 'E', 'B', 'B', 'D', 'B', 'A', 'C', 'A', 'D', 'B', 'B', None, 'B', 'B', 'A']
['C', 'C', 'E', 'C', 'D', 'B', 'C', None, 'B', 'C', 'C', 'C', 'E', 'B', 'C', None, 'E', 'A', 'C', 'A']
['A', 'E', 'C', 'C', 'B', 'D', 'C', 'B', 'B', 'D', 'D', 'D', 'B', 'B', 'E', 'B', 'B', 'B', 'B', 'D']
['C', 'D', 'B', 'B', 'C', 'A', 'D', 'B', 'C', 'D', None, 'D', 'C', 'E', 'A', 'B', 'C', 'A', 'C', 'B']
['A', 'A', 'A', 'A', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['D', 'C', 'D', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'E', 'A', 'D', 'A', 'A', 'E', 'A']
['A', 'C', 'B', 'A', 'B', 'C', 'B', 'C', 'B', 'C', 'D', 'D', 'C', 'B', 'A', 'A', 'B', 'A', 'B', 'E']
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
[None, 'A', 'B', None, 'A', 'A', 'B', 'C', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'C', 'A', 'A', 'A']
['B', 'E', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'A', None, 'A', 'A', 'B', 'A', 'A', 'B']
['C', 'A', 'C', 'C', 'A', 'A', 'C', 'C', 'A', 'C', 'A', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'A', 'A']
['B', 'E', 'C', 'C', None, 'C', 'B', 'C', None, None, 'E', 'A', 'B', 'D', 'E', 'A', None, None, 'E', 'B']
['A', 'B', 'A', 'A', 'A', 'D', 'B', 'B', 'A', None, 'C', 'B', 'A', 'A', 'A', 'C', 'A', 'C', 'C', 'C']
['E', 'E', 'E', None, None, 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']
['B', 'C', 'B', 'B', 'B', 'B', 'B', 'A', 'E', 'B', 'B', 'C', 'B', 'B', 'B', 'C', 'C', 'A', 'B', 'D']
['B', 'B', 'D', 'C', 'D', 'C', 'C', 'B', None, 'C', 'C', 'A', 'D', 'C', 'C', 'A', 'B', 'C', None, 'C']
['D', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'D', 'B', 'B']
['D', 'A', 'B', 'E', 'E', 'D', 'B', 'C', 'D', 'B', 'A', 'D', None, 'B', 'C', 'E', 'C', 'E', 'B', 'B']
['A', 'C', 'A', 'A', 'A', 'C', 'C', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']
['B', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', None, 'D', 'D', 'D', 'D', 'D']
['A', 'A', 'A', 'A', 'A', 'B', 'A', None, None, 'A', 'A', 'B', 'A', 'B', 'A', 'A', None, 'A', 'A', None]
['C', 'C', 'C', 'C', 'B', 'C', 'B', 'C', 'C', 'E', 'E', 'C', 'C', 'C', 'C', 'D', 'C', 'D', 'D', 'B']
['C', 'C', 'C', 'D', 'C', 'C', 'A', 'C', 'B', 'A', 'E', 'B', 'A', 'B', 'B', 'A', 'A', 'C', 'C', 'B']
['B', 'B', 'B', 'E', 'B', 'A', 'D', 'A', 'A', 'A', 'B', 'A', 'C', 'B', 'B', 'B', 'B', None, None, None]
['B', 'C', 'A', 'C', 'D', 'D', 'B', 'A', 'C', 'C', 'A', 'D', 'B', 'B', 'C', 'B', 'C', 'C', 'B', 'E']
['B', 'C', 'A', None, 'B', 'C', 'B', 'A', 'C', 'D', 'C', 'C', 'C', 'B', 'D', 'C', None, 'D', 'A', 'D']
['B', 'C', 'C', 'A', 'B', 'A', 'B', 'C', 'B', 'A', 'B', None, 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'D']
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']
['D', 'A', 'D', 'E', 'D', 'D', 'C', 'A', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'C', 'C', 'D', 'D', 'E']
['A', 'C', 'D', 'A', 'D', 'A', 'C', 'A', 'B', 'C', 'C', 'C', 'E', 'D', 'C', 'E', 'B', 'B', 'C', 'A']
['C', 'C', 'D', 'B', None, 'B', 'E', 'B', 'A', 'A', 'A', 'A', 'B', 'B', 'C', 'C', 'B', 'B', 'B', 'A']
['C', None, 'A', None, 'B', 'B', 'A', 'C', 'A', 'E', 'B', 'B', 'B', 'C', 'A', 'B', 'E', None, 'C', 'A']
[None, 'C', 'C', 'D', 'D', None, 'C', 'C', 'B', 'C', None, None, None, 'D', 'A', 'C', 'C', None, 'C', None]
['C', 'B', 'C', 'D', None, 'C', None, 'B', 'B', 'C', 'C', 'D', 'B', 'B', None, 'C', None, 'A', 'B', 'B']
['A', 'D', 'C', 'A', 'B', 'C', 'A', 'D', 'B', 'D', 'B', 'D', 'E', 'C', 'C', 'A', 'D', 'B', 'A', 'D']
['E', 'B', 'A', 'B', 'D', 'B', 'D', 'B', 'D', 'B', 'B', 'B', 'D', 'D', 'B', 'A', 'E', 'D', 'B', 'B']
['C', 'C', 'B', 'B', 'A', 'C', 'B', 'C', 'C', 'C', 'E', 'D', 'B', 'B', 'A', 'E', 'B', 'A', None, 'A']
['C', 'B', 'A', 'B', 'D', 'A', 'B', 'C', 'B', 'A', 'A', 'D', 'A', 'E', 'C', 'B', 'A', 'E', 'A', 'E']
['B', 'D', 'E', 'B', 'A', 'B', 'E', 'A', 'B', None, 'D', 'A', 'C', 'A', 'A', 'A', 'B', 'D', 'C', 'A']
['C', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'C', 'C', 'B', 'C', 'B', 'E', 'A', 'C', 'E', 'C', 'A', 'A']
['A', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', None, 'A', 'A', 'A', 'A', 'A', 'A']
['B', 'D', 'A', 'D', 'D', 'A', 'E', 'D', 'D', 'E', 'D', 'A', 'D', 'E', 'A', 'D', 'D', 'D', 'D', 'D']
['C', 'A', 'B', None, 'C', 'A', 'D', 'A', 'A', 'B', 'B', 'A', 'B', 'B', 'A', 'A', 'A', None, 'A', 'A']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']
[None, 'E', None, 'C', None, 'A', 'C', 'C', 'A', 'A', 'D', 'D', 'B', 'C', 'C', 'C', 'A', 'A', 'B', 'B']
['E', 'D', 'B', 'B', 'A', 'D', 'C', 'C', 'A', 'D', None, 'C', 'C', 'E', 'B', 'C', 'B', 'C', 'D', 'D']
['C', 'D', 'D', None, 'C', 'A', 'C', 'B', 'B', 'B', 'C', 'C', 'E', 'B', 'D', 'B', 'E', 'B', 'A', 'B']
['D', 'A', 'C', 'A', 'D', 'E', 'C', 'A', 'E', 'A', 'B', 'B', None, 'B', 'B', 'C', 'B', 'C', 'B', 'C']
['D', 'B', 'B', 'B', 'B', 'C', 'A', 'C', 'C', 'D', 'E', 'C', 'C', 'B', 'B', 'B', 'C', 'C', 'B', 'B']
['D', 'B', 'D', 'C', 'D', None, 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', None, 'D', 'B', 'D', 'D', 'B']
['D', 'D', 'B', 'B', 'D', 'D', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'B', 'B', 'B', 'D', 'A', 'B', 'B']
['C', 'B', None, 'E', 'C', None, 'C', 'D', None, None, 'B', None, 'E', 'C', 'B', 'A', 'C', 'E', None, 'A']
['E', 'E', 'B', 'B', None, 'C', 'C', 'A', 'D', 'D', 'B', 'D', 'C', 'B', 'D', 'C', 'D', 'E', 'A', 'B']
['D', 'D', 'C', 'E', 'D', None, 'A', 'C', 'C', 'E', 'D', 'C', 'E', 'E', 'E', 'D', None, 'D', 'C', None]
['A', 'B', 'E', None, 'D', 'E', 'B', 'B', None, 'E', 'D', 'C', 'B', 'B', 'E', 'E', 'C', 'B', 'A', 'C']
['C', 'A', 'A', 'E', 'D', 'B', 'B', 'D', 'C', 'C', 'A', 'B', 'C', 'E', 'E', 'A', 'E', 'B', 'B', 'A']
['C', 'B', 'E', 'C', 'C', 'B', 'E', 'B', 'D', 'A', 'B', 'B', 'A', 'A', 'A', 'B', 'C', 'B', 'C', None]
['A', 'C', 'C', 'A', 'C', 'E', 'B', 'C', 'C', 'D', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'D', 'E', 'C']
